name,id,nametype,recclass,mass,fall,year,reclat,reclong
Bluewing 008,5086,Valid,H5,451.7,Found,2001,40.27957,-118.94642
Dhofar 241,7024,Valid,H5/6,451.8,Found,2001,18.65183,54.77383
Acfer 101,110,Valid,L6,452,Found,1990,27.53333,4.16667
Acfer 123,132,Valid,H3.9,452,Found,1990,27.46667,3.76667
Dar al Gani 174,5722,Valid,H5,452,Found,1996,27.1165,16.083
Sayh al Uhaymir 022,23214,Valid,L6,452,Found,1999,21.07183,57.26617
Jarud Qi,49715,Valid,L5,452,Found,2000,44.61667,120.93333
Ramlat as Sahmah 225,35657,Valid,H5,452.25,Found,2003,20.5698,56.10353
Asuka 881225,3934,Valid,L4,452.33,Found,1988,-72,26
Queen Alexandra Range 97008,20415,Valid,L3.05,452.6,Found,1997,-84,168
LaPaz Icefield 02322,12589,Valid,LL5,452.7,Found,2002,-86.36667,-70
Meteorite Hills 01023,16256,Valid,H6,452.8,Found,2001,-79.68333,159.75
Kenna (b),12278,Valid,L5,453,Found,1972,33.70833,-103.76667
Daraj 108,6567,Valid,LL4-6,453,Found,1986,29.43833,11.87833
Dhofar 672,7429,Valid,H6,453,Found,2001,19.20318,54.60555
Dhofar 1727,56354,Valid,H6,453,Found,2011,19.13952,54.66558
Jiddat al Harasis 476,48627,Valid,L6,453.3,Found,2007,19.82593,56.40448
Kulak,12369,Valid,L5,453.6,Fell,1961,30.73111,66.80222
Allan Hills 99505,1306,Valid,H6,453.6,Found,1999,-76.71667,159.66667
Grove Mountains 090755,57393,Valid,L5,453.7,Found,2010,-72.77886,75.31447
Dar al Gani 138,5687,Valid,H5,454,Found,1996,27.147,16.1585
Dar al Gani 545,6093,Valid,H4,454,Found,1997,27.20333,16.08183
Northwest Africa 728,17810,Valid,L4,454,Found,1998,30.33333,-5.75
Dar al Gani 754,6301,Valid,L6,454,Found,1999,27.84983,15.884
Dar al Gani 756,6303,Valid,L6,454,Found,1999,27.8425,15.88433
Dhofar 1552,54614,Valid,L-melt breccia,454,Found,2008,18.7645,54.32217
Sayh al Uhaymir 083,23275,Valid,LL6,455,Found,2000,21.05183,57.26967
Lewis Cliff 87047,13521,Valid,H6,455.7,Found,1987,-84.35317,161.42588
Sayh al Uhaymir 410,35699,Valid,L4,455.7,Found,2005,20.91212,56.84697
Grove Mountains 053489,48435,Valid,L6,456,Found,2006,-72.781111,75.305833
Asuka 881390,4099,Valid,H4,456.13,Found,1988,-72,26
Meteorite Hills 00470,15705,Valid,LL6,456.2,Found,2000,-79.68333,155.75
Asuka 881821,4530,Valid,Eucrite-pmict,456.69,Found,1988,-72,26
Grosvenor Mountains 95516,11244,Valid,H6,456.8,Found,1995,-85.66667,175
Acfer 294,302,Valid,H4,457,Found,1992,27.64972,4.01194
Sayh al Uhaymir 165,23352,Valid,L5,457.15,Found,2001,21.02018,57.21147
Jiddat al Harasis 610,51959,Valid,H3-5,457.5,Found,2009,19.87235,55.98085
Asuka 881604,4313,Valid,L6,457.53,Found,1988,-72,26
Ramlat as Sahmah 380,55466,Valid,H5,457.8,Found,2010,20.58797,56.12263
Hammadah al Hamra 006,11491,Valid,H5,458,Found,1990,28.9,12.58333
Dar al Gani 070,5586,Valid,H6,458,Found,1995,27.05233,16.42633
Allan Hills A78134,1749,Valid,H4,458.3,Found,1978,-76.71667,159.66667
Hughes 052,11976,Valid,L5,458.3,Found,1993,-30.46667,129.71667
Queen Alexandra Range 90205,19010,Valid,L5,458.5,Found,1990,-84.59612,162.30508
Rebiana,22402,Valid,L/LL5,459,Found,1999,24.97833,21.885
San Juan 065,57304,Valid,H4,459,Found,2010,-25.58333,-69.78333
Jiddat al Harasis 214,35533,Valid,H5,459.06,Found,2005,19.96597,56.44698
San Pedro Jacuaro,34063,Valid,LL6,460,Fell,1968,19.76667,-100.65
El Pozo,7814,Valid,L5,460,Found,1998,26.93333,-105.4
San Juan 038,52379,Valid,H5,460,Found,2009,-25.441833,-69.881667
Sayh al Uhaymir 260,23433,Valid,L6,460.13,Found,2003,20.6361,57.2141
Meteorite Hills 01053,16286,Valid,L5,460.6,Found,2001,-79.68333,159.75
Acfer 235,243,Valid,H5,461,Found,1991,27.51889,4.01667
Dhofar 1719,56342,Valid,L6,461,Found,2010,18.97752,54.62923
