name,id,nametype,recclass,mass,fall,year,reclat,reclong
Dhofar 1543,52417,Valid,H4,1734,Found,2008,18.222,54.31783
Allan Hills A77208,1519,Valid,H4,1733,Found,1977,-76.71667,159.66667
Ramlat as Sahmah 328,52004,Valid,L6,1732.7,Found,2009,20.42085,56.49987
Dar al Gani 167,5715,Valid,H5-6,1732,Found,1996,27.18367,16.11583
Dar al Gani 467,6015,Valid,L6,1731,Found,1998,28.00883,15.84283
Dhofar 749,7495,Valid,LL6,1730,Found,2000,18.8773,54.78035
Grove Mountains 053690,48464,Valid,H4,1730,Found,2006,-72.825556,75.357778
Asuka 882062,4771,Valid,H4,1728.59,Found,1988,-72,26
Payson,18178,Valid,L6,1728,Found,2001,34.23333,-111.4
Dhofar 977,30548,Valid,H3,1728,Found,2004,19.22119,54.95961
Meteorite Hills A78003,16599,Valid,L6,1726,Found,1978,-79.68333,155.75
Jiddat al Harasis 593,51942,Valid,H5,1725.1,Found,2009,19.42,56.70333
Dhofar 1556,52426,Valid,H4,1722,Found,2009,18.72883,54.57717
Jiddat al Harasis 587,51935,Valid,H5,1721.5,Found,2009,19.80485,56.67047
Hammadah al Hamra 099,11582,Valid,H6,1720,Found,1995,28.636,13.37917
Yamato 74459,24837,Valid,H6,1719.7,Found,1974,-71.72639,35.975
Yamato 792761,28110,Valid,H6,1719,Found,1979,-71.5,35.66667
Grove Mountains 021491,46742,Valid,L6,1716.5,Found,2003,-72.93667,75.345
Dhofar 361,7144,Valid,H3,1715,Found,2000,19.03272,54.85748
Yamato 790749,26098,Valid,H4,1714.8,Found,1979,-71.5,35.66667
Sayh al Uhaymir 450,45941,Valid,L4,1713.81,Found,2006,20.8825,57.35723
Umm as Samim 014,51878,Valid,H4,1713.8,Found,2009,21.37387,56.31365
Seminole (c),23490,Valid,H4,1711,Found,1967,32.55,-102.39167
Miller Range 99305,16661,Valid,L6,1710.1,Found,1999,-83.25,157
Seminole (d),23491,Valid,H6,1710,Found,1976,32.71667,-102.65
Silao,23594,Valid,H5,1710,Fell,1995,20.93333,-101.38333
Dhofar 223,7007,Valid,H4,1708,Found,2000,18.26667,54.09667
Northwest Africa 768,17841,Valid,H4,1708,Found,2000,28.00083,-9.27
Sayh al Uhaymir 101,23293,Valid,L6,1704,Found,2000,21.05303,57.26272
Umm Ruaba,24118,Valid,L5,1700,Fell,1966,13.46667,31.21667
Derrick Peak 88019,6670,Valid,"Iron, IIAB",1700,Found,1988,-80.06667,156.38333
Dar al Gani 180,5728,Valid,LL3.9,1700,Found,1996,27.2645,16.40867
Graves Nunataks 98032,11024,Valid,Ureilite,1699.5,Found,1998,-86.71667,-141.5
Dar al Gani 199,5747,Valid,H6,1699,Found,1996,27.058,16.40217
Dhofar 263,7046,Valid,LL6,1698.1,Found,2001,18.34583,54.40067
Jiddat al Harasis 223,35542,Valid,H5,1691.5,Found,2005,19.82257,56.65902
Asuka 881814,4523,Valid,LL4,1688.57,Found,1988,-72,26
Tin as Sawwan,56556,Valid,L4-5,1684,Found,2011,32.7605,9.1002
Allan Hills A77263,1574,Valid,"Iron, IAB-MG",1669,Found,1977,-76.71667,159.66667
Pitino,18836,Valid,H5,1667,Found,2002,-27.46667,-60.58333
Dhofar 278,7061,Valid,L6,1666,Found,2001,18.66833,54.66667
Frontier Mountain 93005,10636,Valid,L5,1665.4,Found,1993,-72.96972,160.43778
Dhofar 679,7436,Valid,H5,1653,Found,2001,19.27163,54.66957
Asuka 881978,4687,Valid,L6,1650.55,Found,1988,-72,26
Ramlat as Sahmah 378,55464,Valid,H5,1649.2,Found,2010,20.57258,56.05498
Jiddat al Harasis 582,51927,Valid,L6,1647.5,Found,2009,19.42208,56.69943
Hammadah al Hamra 185,11668,Valid,H5,1645,Found,1996,28.698,13.31933
Dhofar 1508,53797,Valid,L~5,1645,Found,2009,18.6213,54.43642
Mount DeWitt 96600,16769,Valid,H6,1644.4,Found,1996,-77.2,159.83333
Allan Hills 84065,667,Valid,L6,1641.7,Found,1984,-76.89909,156.83414
Rock Creek,22638,Valid,L5,1641,Found,1980,34.42222,-101.4975
Dar al Gani 175,5723,Valid,H5-6,1641,Found,1996,27.11783,16.08533
Elephant Moraine 87550,8100,Valid,H5,1639.8,Found,1987,-76.18333,157.16667
Quinyambie,22365,Valid,LL3.6,1638,Found,1968,-30.15,140.98333
Hammadah al Hamra 214,11697,Valid,H6,1637,Found,1997,28.50267,13.23133
Hammadah al Hamra 139,11622,Valid,H5,1632,Found,1995,28.50967,12.96633
Meteorite Hills 00445,15680,Valid,L5,1631.5,Found,2000,-79.68333,155.75
Ramlat as Sahmah 381,55467,Valid,L6,1628.1,Found,2010,20.56808,56.28135
Brownfield (iron),5154,Valid,"Iron, IID",1626,Found,1960,33.21667,-102.18333
Asuka 881913,4622,Valid,LL3,1625,Found,1988,-72,26
Meteorite Hills 00440,15675,Valid,L5,1624.7,Found,2000,-79.68333,155.75
Hammadah al Hamra 240,11723,Valid,L4,1624,Found,1997,29.44983,11.36117
Mount Howe 88401,16776,Valid,Eucrite-br,1622.7,Found,1988,-87.36667,-149.5
Acfer 132,141,Valid,H6,1621,Found,1990,27.5,3.76667
Dar al Gani 029,5545,Valid,H6,1620,Found,1995,27.20167,16.093
Los Vientos 008,57193,Valid,H5,1617,Found,2010,-24.68333,-69.76667
Dar al Gani 294,5842,Valid,LL4,1616,Found,1997,27.202,16.36733
Dar al Gani 672,6219,Valid,LL5,1616,Found,1999,27.46667,16.3
Wellman (d),24240,Valid,H,1615,Found,1966,33.01667,-102.36667
Roosevelt County 089,22744,Valid,H5,1615,Found,1980,34.13333,-103.53333
Dhofar 1539,52406,Valid,H4,1614,Found,2006,18.26667,54.425
Yamato 791710,27059,Valid,L4,1607,Found,1979,-71.5,35.66667
Sayh al Uhaymir 512,51884,Valid,H4-5,1606.9,Found,2009,20.90623,56.94885
Asuka 882093,4802,Valid,H4,1606.34,Found,1988,-72,26
Dhofar 183,6967,Valid,L5,1606.3,Found,2000,18.84722,54.47306
Dar al Gani 391,5939,Valid,Eucrite-pmict,1605,Found,1997,27.35683,16.167
Dar al Gani 497,6045,Valid,H5,1604,Found,1997,27.20333,16.0715
Loop (b),14703,Valid,H,1600,Found,1964,32.99167,-102.38833
Fairfield,10069,Valid,"Iron, IAB-MG",1600,Found,1974,39.33333,-84.6
Cilimus,5364,Valid,L5,1600,Fell,1979,-6.95,108.1
Tanezrouft 066,23866,Valid,H6,1600,Found,2002,25.19278,0.78611
Kaprada,47357,Valid,L5/6,1600,Fell,2004,20.33916,73.22329
Huaxi,54719,Valid,H5,1600,Fell,2010,26.46469,106.63241
Tanezrouft 078,31339,Valid,L6,1599,Found,2003,24.73573,-0.52413
Jiddat al Harasis 099,12158,Valid,H4-5,1595.38,Found,2002,19.52688,56.83552
Asuka 8602,2356,Valid,L4,1595,Found,1986,-72.83333,24.5
Allan Hills A81031,1991,Valid,L3.4,1594.9,Found,1981,-76.705,159.37944
Dhofar 964,30542,Valid,H4,1592,Found,2004,19.126,54.85633
Asuka 880999,3708,Valid,H4,1591.18,Found,1988,-72,26
Meteorite Hills 01001,16234,Valid,LL6,1591,Found,2001,-79.68333,159.75
Jiddat al Harasis 388,51654,Valid,L~6,1589.2,Found,2003,19.27775,55.76402
Dar al Gani 544,6092,Valid,H5,1589,Found,1997,26.96333,16.45933
Dhofar 1279,34498,Valid,L6,1588,Found,2005,18.25117,54.19822
Queen Alexandra Range 94208,19850,Valid,L6,1587.5,Found,1994,-84,168
Dhofar 036,6735,Valid,L6,1587,Found,1999,19.1275,54.8145
Queen Alexandra Range 94209,19851,Valid,L6,1585,Found,1994,-84,168
Hammadah al Hamra 175,11658,Valid,L5,1582,Found,1996,28.63183,13.086
Lewis Cliff 87032,13506,Valid,H6,1581.8,Found,1987,-84.3403,161.40292
Hammadah al Hamra 241,11724,Valid,L6,1579,Found,1997,29.44367,11.35383
Jiddat al Harasis 648,55479,Valid,H4,1577.9,Found,2010,19.40178,56.56593
Sayh al Uhaymir 185,23358,Valid,H/L4-5,1575.3,Found,2002,20.51485,57.27738
Yamato 790445,25794,Valid,H5,1574,Found,1979,-71.5,35.66667
Elephant Moraine 82604,7829,Valid,H5,1570.6,Found,1982,-76.18333,157.16667
Dora (stone),7713,Valid,OC,1570,Found,1970,33.92333,-103.35
Paposo 010,57341,Valid,H~6,1569,Found,2011,-25,-70.46667
Allan Hills 83001,521,Valid,L4,1568.6,Found,1983,-76.72109,158.73715
Dhofar 1692,56198,Valid,L6,1568,Found,2011,18.38863,54.5411
Dar al Gani 521,6069,Valid,CV3,1567,Found,1997,27.311,16.234
LaPaz Icefield 02209,12476,Valid,LL5,1563.1,Found,2002,-86.36667,-70
Dar al Gani 440,5988,Valid,L6,1561,Found,1998,27.48333,16.263
Selden,23484,Valid,LL5,1560,Found,1960,39.53333,-100.56667
Boulder Mine,52852,Valid,L5,1560,Found,2008,34.685,-114.323
Yamato 791845,27194,Valid,H6,1559,Found,1979,-71.5,35.66667
Dhofar 485,7246,Valid,Howardite,1558,Found,2001,19.10083,54.78361
Bawku,4976,Valid,LL5,1557,Fell,1989,11.08333,-0.18333
Dhofar 122,6907,Valid,L6,1556,Found,2000,18.9855,54.62467
Dar al Gani 432,5980,Valid,H4,1555,Found,1998,27.4475,15.985
Dhofar 747,7493,Valid,L3,1555,Found,2000,18.79565,54.73953
Meteorite Hills 01004,16237,Valid,LL5,1554.3,Found,2001,-79.68333,159.75
Lonewolf Nunataks 94106,14690,Valid,L6,1554,Found,1994,-81.33333,152.83333
Rainbow,22374,Valid,CO3.2,1553,Found,1994,-35.90667,141.855
Worden,24337,Valid,L5,1551,Fell,1997,42.38467,-83.6115
Brownfield (c),5153,Valid,OC,1550,Found,1974,33.135,-102.27833
Tindouf,24005,Valid,H6,1550,Found,1997,27.75,-8.13333
